name,addressBuilding,addressStreet,addressStreet2,addressCity,addressStateProvince,addressPostCode,addressCountry
Bristol Fluid System Technologies Ltd T/A Swagelok Central,Unit 7 Orpen Park,Ash Ridge Road,"Bradley Stoke,",Bristol,Avon,BS32 4QD,United Kingdom
Brite Start FM Limited,36 Station Road,,,Wem,,SY4 5BH,United Kingdom
Bronte Valves Ltd,"Unit 2 &, 3A South Street",,,Halifax,,HX1 2EL,United Kingdom
Brothers-EMR Limited,"Units 18, 23 & 24 Chelworth Industrial Estate",Chelworth Park,,Wiltshire,,SN6 6HE,United Kingdom
Build2Design Ltd,Five Oaks Stables,Layhams Road,,Keston,,BR2 6AR,United Kingdom
Builderstorm Limited,5 Brayford Square,,,London,,E1 0SG,United Kingdom
Burmor Construction Limited,Burmor House,Sunderland Road,"Northfields Industrial Estate, Market Deeping",Peterborough,,PE6 8FD,United Kingdom
Business Management Systems Limited,(64) Deansway,,,Bromsgrove,Worcestershire,B61 7PF,United Kingdom
Buston and Maughan Limited,"Unit 11, St Stephen Court",Low Willington Industrial Estate,,Crook,Durham,DL15 0BF,United Kingdom
Buxton Press Limited,Palace Road,,,Buxton,Derbyshire,SK17 6AE,United Kingdom
C&S Facilities Management T/A C&S Group,351 Main Street,Blantyre,,Glasgow,,G72 0DJ,United Kingdom
CA Cornish & Associates Ltd,2nd Floor,27 Greville Street,,London,,EC1N 8SU,United Kingdom
Cab Glazing Services Ltd,Unit 4 Stafford Park 12,,,Telford,Shropshire,TF3 3BJ,United Kingdom
Calabash Group Services Ltd,"Unit 40, Woodside Industrial Estate",Thornwood,,Epping,Essex,CM16 6LJ,United Kingdom
Calcom Holdings Ltd,The Old Workshop,Hortham Farm,,Bristol,,BS32 4JW,United Kingdom
Calderdale Council,Calderdale Council,Princess Buildings,,Halifax,,HX1 1TS,United Kingdom
Callingham Associates Limited,Hearsall Lane Studios,2 Hearsall Lane,,Coventry,,CV5 6QR,United Kingdom
Calpeda Limited,6-8 Wedgwood Road Industrial Estate,,,Bicester,Oxfordshire,OX26 4UL,United Kingdom
Calverts North Star Press Limited t/a Calverts,9 -10 The Oval,,,London,,E2 9DT,United Kingdom
Cam-Tec Systems Limited,2 Maple Way,Newton Aycliffe Business Park,,Co Durham,,DL5 6BF,United Kingdom
Cambridge Office Environments Ltd incorporating COEL...,11 Nuffield Road,,,Cambridge,,CB4 1TF,United Kingdom
Campion Homes Ltd,Pitreavie Drive,Pitreavie Business Park,,Dunfermline,,KY11 8US,United Kingdom
Cantifix Limited,"Unit 22, Garrick Industrial Estate",Irving Way,,London,,NW9 6AQ,United Kingdom
Capitol Cleaning & Support Services,Unit 31 Woodside Trading Estate,Thornwood Common,,Epping,Essex,CM16 6LJ,United Kingdom
Caprari Pumps (UK) Ltd,"Caprari House, Bakewell Road",Orton Southgate,,Peterborough,Cambridgeshire,PE2 6XU,United Kingdom
Capricorn Blinds Ltd,Unit 36 Monkspath Business Park,Highlands Road,Monkspath,Solihull,,B90 4NZ,United Kingdom
Carbon Rewind Ltd,"Axis, Building 2,",Rhodes Way,,Watford,Hertfordshire,WD24 4YW,United Kingdom
Cardboard Box Company Ltd,Petre Rd,Clayton Park Enterprise Centre,Clayton-Le-Moors,Accrington,Lancs,BB5 5JB,United Kingdom
Carson Powell Construction Ltd,Building 103,Campbell Road,,Stoke-on-Trent,Staffordshire,ST4 4DE,United Kingdom
Carve Interiors Limited,Units 9-11 Ohio Grove,Hot Lane Industrial Estate,,Burslem,Stoke on Trent,ST6 2BL,United Kingdom
Castle Kelly Utilities Limited,The Brickfields,Oxhey Lane,Watford,Herts,,WD19 5RJ,United Kingdom
CBL Supplies Ltd,Unit A2 Halesfield 13,,,Telford,,TF7 4PL,United Kingdom
CC Contracting Ltd,Pedmore House,Pedmore Road,Lye,Stourbridge,,DY9 8DG,United Kingdom
CCS Scaffolding Ltd,Stonebridge Road,,,Gravesend,Kent,DA11 9BA,United Kingdom
CDL Group Limited,1 Vestry Road,Sevenoaks,,Kent,,TN14 5EL,United Kingdom
Cemento Ltd,"Unit 2, Hardess Industrial Estate",Hardess Street,,London,,SE24 0HN,United Kingdom
Central Doorset Manufacturing Ltd,"1A Mill Hill, North West Industrial Estate",,,Peterlee,,SR8 2HR,United Kingdom
